Fecha,Gas licuado de petróleo,Gasolina regular,Gasolina superior,Diesel alto azufre,Total
may-09,"221,884.47","276,970.67","432,401.49","770,687.28","2,641,261.83"
jun-09,"221,329.63","252,551.99","393,140.38","703,815.55","2,363,643.72"
jul-09,"241,510.20","283,142.05","435,256.09","740,868.09","2,413,889.93"
ago-09,"232,174.11","267,830.84","409,182.96","692,376.70","2,332,997.27"
sep-09,"225,886.43","248,994.42","420,238.71","687,435.10","2,304,872.90"
oct-09,"235,899.13","269,008.52","421,753.29","775,739.56","2,569,728.58"
nov-09,"232,172.83","212,149.91","391,754.81","738,678.65","2,319,021.70"
dic-09,"215,923.38","296,805.29","449,842.29","891,670.41","2,531,064.81"
ene-10,"228,078.62","243,341.49","389,068.41","777,741.34","2,229,868.21"
feb-10,"214,409.69","248,207.93","391,195.69","807,692.10","2,312,920.07"
mar-10,"242,081.59","320,985.41","465,664.59","1,017,058.18","2,672,144.80"
abr-10,"216,150.67","254,872.61","387,063.18","762,770.01","2,128,180.57"
may-10,"215,523.54","238,903.31","381,811.18","721,668.18","2,129,209.59"
jun-10,"226,415.07","251,896.39","385,981.10","683,236.54","2,095,207.04"
jul-10,"243,063.35","278,700.49","422,481.80","721,584.60","2,110,229.80"
ago-10,"245,908.42","268,917.79","410,176.39","695,796.33","2,004,950.68"
sep-10,"233,404.90","266,975.25","396,429.75","687,553.88","2,008,992.05"
oct-10,"236,852.35","275,031.21","418,305.07","745,415.51","2,070,773.96"
nov-10,"255,841.85","273,452.94","409,652.73","785,917.40","2,142,192.90"
dic-10,"251,825.20","320,807.17","466,766.78","843,762.00","2,262,042.06"
ene-11,"244,328.91","285,089.04","411,737.33","850,696.79","2,274,013.07"
feb-11,"228,479.00","269,301.38","391,131.10","819,940.50","2,167,948.55"
mar-11,"255,792.92","281,453.75","393,160.91","900,485.91","2,470,456.30"
abr-11,"237,582.68","285,598.37","386,749.27","797,527.23","2,465,941.15"
may-11,"247,975.28","253,277.88","371,876.75","803,849.53","2,430,138.62"
jun-11,"247,082.28","290,137.49","380,800.43","729,676.79","2,506,088.38"
jul-11,"259,033.89","279,283.36","389,294.64","718,255.06","2,096,190.42"
ago-11,"259,688.74","256,380.27","408,494.51","699,736.08","2,142,669.04"
sep-11,"251,882.54","256,728.25","380,453.23","660,384.93","1,952,754.18"
oct-11,"262,255.14","242,071.01","381,309.50","672,214.93","1,947,413.63"
nov-11,"252,218.21","231,413.83","381,871.84","794,507.24","2,114,746.04"
dic-11,"263,892.43","291,678.03","449,904.10","862,318.80","2,311,721.16"
ene-12,"242,524.90","261,933.68","393,781.94","814,956.72","2,116,578.44"
